대조 셀 4,502  |  불일치 182  |  raw없음 0 (회사,분기)  앵커불가 21

회사            분기        item 열                   저장         원문환산       차이  원문(백만원)
하나생명보험        2023.1Q     38 값_적용후           646.97       647.03    -0.06  64,703
하나생명보험        2023.1Q     40 값_적용후           109.05       109.06    -0.01  10,906
하나생명보험        2026.1Q     36 값_적용후           359.26       359.28    -0.02  35,928
하나생명보험        2026.1Q     37 값_적용후         1,205.42     1,205.49    -0.07  120,549
하나생명보험        2026.1Q     38 값_적용후           265.03       265.04    -0.01  26,504
하나생명보험        2026.1Q     39 값_적용후           288.04       288.06    -0.02  28,806
농협생명보험        2024.3Q     36 값_적용후         9,133.22     9,133.32    -0.10  913,332
농협생명보험        2024.3Q     37 값_적용후         3,123.75     3,123.78    -0.03  312,378
농협생명보험        2024.3Q     38 값_적용후         2,755.25     2,755.28    -0.03  275,528
농협생명보험        2024.3Q     39 값_적용후         2,449.20     2,449.23    -0.03  244,923
농협생명보험        2025.1Q     36 값_적용후         2,870.40     2,870.38    +0.02  287,038
농협생명보험        2025.1Q     37 값_적용후         4,168.05     4,168.03    +0.02  416,803
농협생명보험        2025.1Q     38 값_적용후         2,923.87     2,923.85    +0.02  292,385
농협생명보험        2025.1Q     39 값_적용후         3,368.35     3,368.33    +0.02  336,833
농협생명보험        2025.2Q     36 값_적용후         3,887.45     3,887.43    +0.02  388,743
농협생명보험        2025.2Q     37 값_적용후         4,585.68     4,585.66    +0.02  458,566
농협생명보험        2025.2Q     38 값_적용후         2,897.82     2,897.81    +0.01  289,781
농협생명보험        2025.2Q     39 값_적용후         3,237.94     3,237.93    +0.01  323,793
농협생명보험        2025.3Q     36 값_적용후         4,254.71     4,254.76    -0.05  425,476
농협생명보험        2025.3Q     37 값_적용후         4,715.46     4,715.51    -0.05  471,551
농협생명보험        2025.3Q     38 값_적용후         2,959.12     2,959.15    -0.03  295,915
농협생명보험        2025.3Q     39 값_적용후         3,693.22     3,693.26    -0.04  369,326
농협생명보험        2025.4Q     36 값_적용후         4,440.85     4,440.83    +0.02  444,083
농협생명보험        2025.4Q     37 값_적용후         4,889.00     4,888.98    +0.02  488,898
농협생명보험        2025.4Q     38 값_적용후         2,969.05     2,969.04    +0.01  296,904
농협생명보험        2025.4Q     39 값_적용후         3,368.60     3,368.58    +0.02  336,858

(회사,분기) 49건: NH농협손해보험 2023.2Q(4), NH농협손해보험 2023.3Q(4), 교보생명보험 2023.2Q(1), 교보생명보험 2024.2Q(1), 교보생명보험 2026.1Q(5), 농협생명보험 2024.3Q(4), 농협생명보험 2025.1Q(4), 농협생명보험 2025.2Q(4), 농협생명보험 2025.3Q(4), 농협생명보험 2025.4Q(4), 롯데손해보험 2023.2Q(5), 롯데손해보험 2023.3Q(5), 롯데손해보험 2023.4Q(5), 롯데손해보험 2024.1Q(5), 롯데손해보험 2024.2Q(5), 롯데손해보험 2024.3Q(5), 롯데손해보험 2024.4Q(4), 롯데손해보험 2025.1Q(4), 롯데손해보험 2025.2Q(4), 롯데손해보험 2025.3Q(4), 롯데손해보험 2025.4Q(4), 롯데손해보험 2026.1Q(4), 악사손해보험 2023.2Q(5), 에이비엘생명보험 2025.1Q(4), 에이비엘생명보험 2025.2Q(4), 에이비엘생명보험 2025.3Q(3), 케이디비생명보험 2023.1Q(4), 하나생명보험 2023.1Q(4), 하나생명보험 2026.1Q(4), 흥국생명보험 2023.2Q(4), 흥국생명보험 2023.3Q(4), 흥국생명보험 2024.1Q(4), 흥국생명보험 2024.2Q(4), 흥국생명보험 2024.3Q(3), 흥국생명보험 2025.1Q(3), 흥국생명보험 2025.2Q(4), 흥국생명보험 2025.3Q(4), 흥국생명보험 2025.4Q(3), 흥국생명보험 2026.1Q(4), 흥국화재 2023.1Q(4), 흥국화재 2023.3Q(2), 흥국화재 2024.1Q(3), 흥국화재 2024.2Q(3), 흥국화재 2024.3Q(2), 흥국화재 2025.1Q(4), 흥국화재 2025.2Q(2), 흥국화재 2025.3Q(4), 흥국화재 2025.4Q(2), 흥국화재 2026.1Q(2)
